UID          PID    PPID  C STIME TTY          TIME CMD
message+     536       1  0 21:24 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         538       1  0 21:24 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         547       1  0 21:24 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         551       1  0 21:24 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         554       1  0 21:24 ?        00:00:00 /usr/libexec/polkitd --no-debug
root         564       1  0 21:24 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       566       1  0 21:24 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         573       1  0 21:24 ?        00:00:02 /usr/lib/snapd/snapd
root         575       1  0 21:24 ?        00:00:00 /usr/libexec/switcheroo-control
root         576       1  0 21:24 ?        00:00:00 /lib/systemd/systemd-logind
root         577       1  0 21:24 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         579       1  0 21:24 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        581     533  0 21:24 ?        00:00:00 avahi-daemon: chroot helper
root         595       1  0 21:24 ?        00:00:00 /usr/sbin/ModemManager
root         626       1  0 21:24 ?        00:00:00 /usr/sbin/cupsd -l
root         644       1  0 21:24 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         658       1  0 21:24 ?        00:00:00 /usr/sbin/gdm3
root         683       1  0 21:24 ?        00:00:00 /usr/sbin/cups-browsed
kernoops     697       1  0 21:24 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     699       1  0 21:24 ?        00:00:00 /usr/sbin/kerneloops
rtkit        753       1  0 21:24 ?        00:00:00 /usr/libexec/rtkit-daemon
root         896       1  0 21:25 ?        00:00:00 /usr/libexec/upowerd
root         913       1  0 21:25 ?        00:00:00 /usr/libexec/packagekitd
colord      1138       1  0 21:25 ?        00:00:00 /usr/libexec/colord
root        1593     658  0 21:26 ?        00:00:00 gdm-session-worker [pam/gdm-password]
alecvar+    1606       1  0 21:26 ?        00:00:00 /lib/systemd/systemd --user
alecvar+    1607    1606  0 21:26 ?        00:00:00 (sd-pam)
alecvar+    1613    1606  0 21:26 ?        00:00:00 /usr/bin/pipewire
alecvar+    1614    1606  0 21:26 ?        00:00:00 /usr/bin/pipewire-media-session
alecvar+    1615    1606  0 21:26 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
alecvar+    1626    1606  0 21:26 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
alecvar+    1635    1606  0 21:26 ?        00:00:00 /usr/libexec/gvfsd
alecvar+    1640       1  0 21:26 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
alecvar+    1648    1606  0 21:26 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
alecvar+    1661    1606  0 21:26 ?        00:00:00 /usr/libexec/xdg-document-portal
alecvar+    1666    1606  0 21:26 ?        00:00:00 /usr/libexec/xdg-permission-store
alecvar+    1673    1593  0 21:26 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
root        1674    1661  0 21:26 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
alecvar+    1679    1673  0 21:26 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
alecvar+    1750    1606  0 21:26 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
alecvar+    1766    1606  0 21:26 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
alecvar+    1837    1606  0 21:26 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
alecvar+    1845    1606  0 21:26 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
alecvar+    1861    1606  0 21:26 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
alecvar+    1883    1606  0 21:26 ?        00:00:00 /usr/libexec/goa-daemon
alecvar+    1919    1606  0 21:26 ?        00:00:00 /usr/libexec/goa-identity-service
alecvar+    1929    1837  0 21:26 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
alecvar+    1930    1606  0 21:26 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
alecvar+    1939    1606 12 21:26 ?        00:01:12 /usr/bin/gnome-shell
alecvar+    1946    1606  0 21:26 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
alecvar+    1949    1929  0 21:26 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
alecvar+    1954    1606  0 21:26 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
alecvar+    1986    1606  0 21:26 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
alecvar+    1992    1606  0 21:26 ?        00:00:00 /usr/libexec/evolution-source-registry
alecvar+    1997    1606  0 21:26 ?        00:00:00 /usr/libexec/dconf-service
alecvar+    2008    1606  0 21:26 ?        00:00:00 /usr/libexec/evolution-calendar-factory
alecvar+    2013    1635  0 21:26 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
alecvar+    2028    1606  0 21:26 ?        00:00:00 /usr/libexec/gvfsd-metadata
alecvar+    2033    1606  0 21:26 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
alecvar+    2034    1606  0 21:26 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
alecvar+    2044    1606  0 21:26 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
alecvar+    2045    1606  0 21:26 ?        00:00:00 /usr/libexec/gsd-a11y-settings
alecvar+    2046    1606  0 21:26 ?        00:00:00 /usr/libexec/gsd-color
alecvar+    2048    2044  0 21:26 ?        00:00:00 /usr/bin/ibus-daemon --panel disable
alecvar+    2053    1606  0 21:26 ?        00:00:00 /usr/libexec/gsd-datetime
alecvar+    2055    1606  0 21:26 ?        00:00:00 /usr/libexec/gsd-housekeeping
alecvar+    2056    1606  0 21:26 ?        00:00:00 /usr/libexec/gsd-keyboard
alecvar+    2059    1606  0 21:26 ?        00:00:00 /usr/libexec/gsd-media-keys
alecvar+    2060    1606  0 21:26 ?        00:00:00 /usr/libexec/gsd-power
alecvar+    2061    1606  0 21:26 ?        00:00:00 /usr/libexec/gsd-print-notifications
alecvar+    2062    1606  0 21:26 ?        00:00:00 /usr/libexec/gsd-rfkill
alecvar+    2063    1606  0 21:26 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
alecvar+    2065    1606  0 21:26 ?        00:00:00 /usr/libexec/gsd-sharing
alecvar+    2066    1606  0 21:26 ?        00:00:00 /usr/libexec/gsd-smartcard
alecvar+    2067    1606  0 21:26 ?        00:00:00 /usr/libexec/gsd-sound
alecvar+    2069    1606  0 21:26 ?        00:00:00 /usr/libexec/gsd-wacom
alecvar+    2088    1837  0 21:26 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
alecvar+    2123    1606  0 21:26 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
alecvar+    2136    1837  0 21:26 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
alecvar+    2198    2048  0 21:26 ?        00:00:00 /usr/libexec/ibus-memconf
alecvar+    2200    2048  0 21:26 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
alecvar+    2202    1606  0 21:26 ?        00:00:00 /usr/libexec/ibus-portal
alecvar+    2227    1606  0 21:26 ?        00:00:00 /usr/libexec/gsd-printer
alecvar+    2269    2048  0 21:26 ?        00:00:00 /usr/libexec/ibus-engine-simple
alecvar+    2285    1606  0 21:26 ?        00:00:00 /usr/libexec/xdg-desktop-portal
alecvar+    2295    1606  0 21:26 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
alecvar+    2338    1606  0 21:26 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
alecvar+    2339    1939  0 21:26 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1280:800:1:27:0:70:0:0
alecvar+    2365    1606  0 21:26 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
root        2382       1  0 21:26 ?        00:00:00 /usr/libexec/ubuntu-advantage-desktop-daemon
alecvar+    2426    1606  0 21:26 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
alecvar+    2571    2426  0 21:26 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
alecvar+    2650    1606  0 21:26 ?        00:00:00 /usr/bin/ubuntu-report service
alecvar+    2685    1606  0 21:27 ?        00:00:02 /usr/libexec/gnome-terminal-server
alecvar+    2703    2685  0 21:27 pts/0    00:00:00 bash
alecvar+    2718    1837  0 21:27 ?        00:00:00 update-notifier
alecvar+    3059    1939  1 21:29 ?        00:00:05 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.54YQH2 -listen 4 -listen 5 -displayfd 6 -initfd 7
alecvar+    3062    1606  0 21:29 ?        00:00:00 /usr/libexec/gsd-xsettings
alecvar+    3090    1606  0 21:29 ?        00:00:00 /usr/libexec/ibus-x11
root        3322       2  0 21:30 ?        00:00:00 [kworker/3:0-cgroup_destroy]
alecvar+    3324    1606  0 21:31 ?        00:00:00 ssh-agent -s
alecvar+    3341    1939 11 21:32 ?        00:00:27 /snap/firefox/2987/usr/lib/firefox/firefox
alecvar+    3570    3341  0 21:32 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -parentBuildID 20230807082803 -prefsLen 19350 -prefMapSize 229498 -appDir /snap/firefox/2987/usr/lib/firefox/browser {61d11f24-cd8f-4be1-9fe0-d6b4ad6db375} 3341 true socket
alecvar+    3621    3341  0 21:32 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 21683 -prefMapSize 229498 -jsInitLen 242416 -parentBuildID 20230807082803 -appDir /snap/firefox/2987/usr/lib/firefox/browser {c45eb1e5-5597-44f5-a8d5-c616753bc451} 3341 true tab
alecvar+    3640    3341  0 21:32 ?        00:00:01 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 22882 -prefMapSize 229498 -jsInitLen 242416 -parentBuildID 20230807082803 -appDir /snap/firefox/2987/usr/lib/firefox/browser {0cf80bba-8aad-4f55-9198-5626eb905e5f} 3341 true tab
alecvar+    3679    1606  0 21:32 ?        00:00:00 /usr/bin/snap userd
alecvar+    3803    3341  0 21:32 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 22495 -prefMapSize 229498 -jsInitLen 242416 -parentBuildID 20230807082803 -appDir /snap/firefox/2987/usr/lib/firefox/browser {8deedd7c-4e18-4f7e-ba74-24272f82b6a9} 3341 true tab
alecvar+    4352    3341  2 21:32 ?        00:00:06 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -childID 5 -isForBrowser -prefsLen 28875 -prefMapSize 229498 -jsInitLen 242416 -parentBuildID 20230807082803 -appDir /snap/firefox/2987/usr/lib/firefox/browser {90835cc6-d085-4366-9810-1522bd23de8b} 3341 true tab
alecvar+    4382    3341  0 21:32 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -childID 6 -isForBrowser -prefsLen 28875 -prefMapSize 229498 -jsInitLen 242416 -parentBuildID 20230807082803 -appDir /snap/firefox/2987/usr/lib/firefox/browser {6ef04d44-a45a-4ef6-bba7-0b68f0ea0d32} 3341 true tab
alecvar+    4423    3341  0 21:32 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -childID 7 -isForBrowser -prefsLen 29198 -prefMapSize 229498 -jsInitLen 242416 -parentBuildID 20230807082803 -appDir /snap/firefox/2987/usr/lib/firefox/browser {954a72c1-8a30-4990-8d01-b58db08865f4} 3341 true tab
root        4440       2  0 21:32 ?        00:00:00 [kworker/1:0-mm_percpu_wq]
alecvar+    4449    3341  0 21:32 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -parentBuildID 20230807082803 -prefsLen 34468 -prefMapSize 229498 -appDir /snap/firefox/2987/usr/lib/firefox/browser {c6f818bd-a42d-4297-93d3-75ac6a479343} 3341 true rdd
alecvar+    4451    3341  0 21:32 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -parentBuildID 20230807082803 -sandboxingKind 0 -prefsLen 34468 -prefMapSize 229498 -appDir /snap/firefox/2987/usr/lib/firefox/browser {d26caa26-cd93-4fdd-922f-8e6ce147a57f} 3341 true utility
alecvar+    4473    3341  0 21:32 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -childID 8 -isForBrowser -prefsLen 29198 -prefMapSize 229498 -jsInitLen 242416 -parentBuildID 20230807082803 -appDir /snap/firefox/2987/usr/lib/firefox/browser {c2d4de95-68a4-4dd6-ad65-798483192183} 3341 true tab
alecvar+    5102    2703  0 21:36 pts/0    00:00:00 ps -ef
